id,name,overall_score,weight,thickness,height,width,volume,resolution,pixel_density,screen_size,gorilla_glass_version,refresh_rate,luminance,contrast_ratio,gpu_clock_speed,ram_speed,cpu_speed,cpu_threads,megapixels__main_camera,megapixels__front_camera,pixel_size__main_camera,video_recording__main_camera,wide_aperture__main_camera,number_of_microphones,battery_power,download_speed,waterproof_depth_rating,ingress_protection__ip__rating,battery_life,directx_version,ram,maximum_light_sensitivity,response_time,lowest_potential_operating_temperature,maximum_operating_temperature,emojis_available,usb_version,openvg_version,upload_speed,field_of_view,floating_point_performance,gpu_memory_speed,front_end_width,pixel_rate,bits_executed_at_a_time,warranty_period,opengl_version,exposure_time,maximum_memory_bandwidth,opencl_version,opengl_es_version,internal_storage,semiconductor_size,power_on_delay,number_of_flash_leds,bluetooth_version,maximum_amount_of_external_memory_supported,antutu_benchmark_score,memory_bandwidth,minimum_focal_length,vfp_version,optical_zoom,wide_aperture__front_camera,geekbench_result,continuous_shooting_at_high_resolution,charge_time,movie_bitrate,included_sd_card__memory_size,maximum_focal_length,more_languages_supported,body_sar__us,head_sar__us,head_sar__eu,shutter_lag
1778,Gionee Elife S7,46,126.5g,5.5mm,148.8mm,72.4mm,59.25cm³,1080 x 1920px,401ppi,"5.7""",,,,,700MHz (MediaTek MT6752),,4 x 2.5GHz,,13MP,4MP,,1080 x 30fps,f/2.00,2,3000mAh,,,,,11.1 (MediaTek MT6752),,,,,,,,,,,0.81 TFLOPS (MediaTek MT6752),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1779,Gionee A1 Plus,46,226g,9.1mm,166.4mm,83mm,125.68cm³,1080 x 1920px,367ppi,"6""",,,,,850MHz (MediaTek Helio X25),,2 x 2.5GHz & 4 x 2GHz & 4 x 1.55GHz (MediaTek Helio X25),,13MP,16MP,,1080 x 30fps,f/2.00,2,4550mAh,300MBits/s,,,,,4GB,,,,,,,,,,,,,,128 (MediaTek Helio X25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780,Huawei P Smart (2019),46,160g,7.95mm,155.2mm,73.4mm,90.56cm³,1080 x 2340px,415ppi,"6.21""",,,,,,2200MHz (HiSilicon Kirin 710),4 x 2.2GHz & 4 x 1.7GHz (HiSilicon Kirin 710),,13MP & 2MP,16MP,,1080 x 60fps,,2,3400mAh,300MBits/s,,,,,3GB,,,,,,,,,,,,,,128 (HiSilicon Kirin 710),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1781,Huawei Honor 7C,46,155g,7.8mm,158.3mm,76.7mm,94.7cm³,720 x 1440px,269ppi,"5.99""",,,,,,933MHz (Qualcomm Snapdragon 450),8 x 1.8GHz (Qualcomm Snapdragon 450),8 (Qualcomm Snapdragon 450),13MP & 2MP,8MP,,1080 x 30fps,f/2.20,2,2900mAh,150MBits/s,,,,,4GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782,Huawei Enjoy 8,46,155g,7.8mm,158.3mm,76.7mm,94.7cm³,720 x 1440px,269ppi,"5.99""",,,,,,933MHz (Qualcomm Snapdragon 450),8 x 1.8GHz (Qualcomm Snapdragon 450),8 (Qualcomm Snapdragon 450),20MP & 13MP,8MP,,1080 x 30fps,f/2.20,2,2900mAh,150MBits/s,,,,,4GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,Ulefone Mix,46,173g,8.7mm,143mm,75mm,93.31cm³,720 x 1280px,267ppi,"5.5""",3,,,,,666MHz (MediaTek MT6750T),8 x 1.5GHz (MediaTek MT6750T),,13MP & 5MP,8MP,1.33µm & 2.25µm,1080 x 30fps,f/2.2 & f/2.2,2,3300mAh,50MBits/s,,,,11.2 (MediaTek MT6750T),4GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784,Vodafone Smart X9,46,153g,7.95mm,148.2mm,71.32mm,84.03cm³,1080 x 2160px,424ppi,"5.7""",,,,,,933MHz (Qualcomm Snapdragon 450),8 x 1.8GHz (Qualcomm Snapdragon 450),8 (Qualcomm Snapdragon 450),16MP & 5MP,8MP,,1080 x 30fps,,1,3100mAh,300MBits/s (Qualcomm Snapdragon 450),,,,,3GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1785,QMobile Noir Z9 Plus,46,158g,7.5mm,155mm,76mm,88.35cm³,720 x 1280px,267ppi,"5.5""",3,,,,695MHz (MediaTek MT6753),,8 x 1.3GHz,8 (MediaTek MT6753),13MP,5MP,,1080 x 30fps,f/2.00,1,3150mAh,150MBits/s,,,21h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,Xiaomi Redmi Y1 (32GB / 3GB RAM),46,153g,7.7mm,153mm,76.2mm,,720 x 1280px,236ppi,"5.5""",3,,,,,800MHz (Qualcomm Snapdragon 435 MSM8940),8 x 1.4GHz (Qualcomm Snapdragon 435 MSM8940),8 (Qualcomm Snapdragon 435 MSM8940),13MP,16MP,,1080 x 30fps,f/2.20,2,3080mAh,150MBits/s,,,32h,,3GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,Xiaomi Redmi Y1,46,153g,7.7mm,153mm,76.2mm,,720 x 1280px,236ppi,"5.5""",3,,,,,800MHz (Qualcomm Snapdragon 435 MSM8940),8 x 1.4GHz (Qualcomm Snapdragon 435 MSM8940),8 (Qualcomm Snapdragon 435 MSM8940),13MP,16MP,,1080 x 30fps,f/2.20,2,3080mAh,150MBits/s,,,32h,,4GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788,Sharp Z2,46,160g,8.4mm,153mm,76mm,97.68cm³,1080 x 1920px,401ppi,"5.5""",,,,,780MHz (MediaTek Helio X20),933MHz (MediaTek Helio X20),2 x 2.1GHz & 4 x 1.85GHz & 4 x 1.4GHz (MediaTek Helio X20),,16MP,8MP,,1080 x 30fps,,2,3000mAh,150MBits/s (MediaTek Helio X20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Nokia 3.2,46,181g,8.6mm,159.44mm,76.24mm,104.54cm³,720 x 1520px,269ppi,"6.26""",,,,,,933MHz (Qualcomm Snapdragon 429),4 x 1.95GHz (Qualcomm Snapdragon 429),4 (Qualcomm Snapdragon 429),13MP,5MP,1.12µm,1080 x 30fps,f/2.20,2,4000mAh,150MBits/s (Qualcomm Snapdragon 429),,,35h,12 (Qualcomm Snapdragon 429),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790,Nokia 3.2 (16GB / 2GB RAM),46,181g,8.6mm,159.44mm,76.24mm,104.54cm³,720 x 1520px,269ppi,"6.26""",,,,,,933MHz (Qualcomm Snapdragon 429),4 x 1.95GHz (Qualcomm Snapdragon 429),4 (Qualcomm Snapdragon 429),13MP,5MP,1.12µm,1080 x 30fps,f/2.20,2,4000mAh,150MBits/s (Qualcomm Snapdragon 429),,,35h,12 (Qualcomm Snapdragon 429),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791,Ulefone T3,46,210g,9.85mm,159.2mm,75.9mm,119.02cm³,1080 x 2280px,377ppi,"6.7""",,,,,900MHz (MediaTek Helio P70),1800MHz (MediaTek Helio P70),4 x 2.1GHz & 4 x 2GHz (MediaTek Helio P70),,21MP & 13MP,16MP,,,,1,5000mAh,300MBits/s (MediaTek Helio P70),,,,,8GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,Infinix Note 4,46,198g,8.4mm,159mm,78.8mm,,1080 x 1920px,386ppi,"5.7""",,,,,695MHz (MediaTek MT6753),,4 x 1.5GHz & 4 x 1.3GHz (MediaTek MT6753),8 (MediaTek MT6753),13MP,8MP,,1080 x 30fps,,1,4300mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793,Meizu M3X 32GB,46,165g,7.4mm,153.8mm,76mm,86.5cm³,1080 x 1920px,401ppi,"5.5""",,,,,900MHz (MediaTek Helio P20),1600MHz (MediaTek Helio P20),8 x 2.3GHz (MediaTek Helio P20),,12MP,5MP,,1080 x 30fps,f/2.00,2,3200mAh,150MBits/s,,,,,3GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794,Meizu M3X,46,165g,7.4mm,153.8mm,76mm,86.5cm³,1080 x 1920px,401ppi,"5.5""",,,,,900MHz (MediaTek Helio P20),1600MHz (MediaTek Helio P20),8 x 2.3GHz (MediaTek Helio P20),,12MP,5MP,,1080 x 30fps,f/2.00,2,3200mAh,150MBits/s,,,,,4GB,,,,,,,,,,,,,,128 (MediaTek Helio P20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795,Vivo V11i,46,163g,8.1mm,155.9mm,75.6mm,,1080 x 2280px,400ppi,"6.3""",,,,,,1800MHz (MediaTek Helio P60),4 x 2GHz & 4 x 2GHz (MediaTek Helio P60),,16MP & 5MP,25MP,,1080 x 30fps,,2,3315mAh,,,,,,4GB,,,,,,,,,,,,,,128 (MediaTek Helio P60),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1796,Xiaomi Redmi 6A (16GB / 2GB RAM),46,146g,8.3mm,147.5mm,71.5mm,87.53cm³,720 x 1440px,295ppi,"5.45""",,,,,,1600MHz (MediaTek Helio A22),4 x 2GHz (MediaTek Helio A22),4 (MediaTek Helio A22),13MP,5MP,1.25µm,1080 x 30fps,f/2.20,2,3000mAh,150MBits/s,,,,,,,,,,,,,,,0.04 TFLOPS (MediaTek Helio A22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,Xiaomi Redmi 6A (32GB / 2GB RAM),46,146g,8.3mm,147.5mm,71.5mm,87.53cm³,720 x 1440px,295ppi,"5.45""",,,,,,1600MHz (MediaTek Helio A22),4 x 2GHz (MediaTek Helio A22),4 (MediaTek Helio A22),13MP,5MP,1.25µm,1080 x 30fps,f/2.20,2,3000mAh,150MBits/s,,,,,,,,,,,,,,,0.04 TFLOPS (MediaTek Helio A22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,HomTom H10,46,170g,7.8mm,152.6mm,74mm,88.08cm³,720 x 1512px,286ppi,"5.85""",,,,,,666MHz (MediaTek MT6750T),8 x 1.5GHz (MediaTek MT6750T),,16MP & 2MP,8MP,,1080 x 30fps,,2,3500mAh,300MBits/s,,,25h,11.2 (MediaTek MT6750T),4GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,Xiaomi Redmi 6A,46,146g,8.3mm,147.5mm,71.5mm,87.53cm³,720 x 1440px,295ppi,"5.45""",,,,,,1600MHz (MediaTek Helio A22),4 x 2GHz (MediaTek Helio A22),4 (MediaTek Helio A22),13MP,5MP,1.25µm,1080 x 30fps,f/2.20,2,3000mAh,150MBits/s,,,,,,,,,,,,,,,0.04 TFLOPS (MediaTek Helio A22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,Motorola Moto X,46,130g,10.4mm,129.3mm,65.3mm,87.81cm³,720 x 1280px,312ppi,"4.7""",,,,,400MHz (Qualcomm Snapdragon S4 Pro MSM8960DT),500MHz (Qualcomm Snapdragon S4 Pro MSM8960DT),2 x 1.7GHz (Qualcomm Snapdragon S4 Pro MSM8960DT),,10MP,2MP,1.4µm,1080 x 60fps,,2,2200mAh,100MBits/s,,,,,,,,,,,,,,,0.06 TFLOPS (Qualcomm Snapdragon S4 Pro MSM8960DT),,,3.2 GPixel/s (Qualcomm Snapdragon S4 Pro MSM8960DT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,Vernee Thor E,46,149g,8.6mm,144mm,70.1mm,,720 x 1280px,294ppi,"5""",,,,,695MHz (MediaTek MT6753),,4 x 1.5GHz & 4 x 1.3GHz (MediaTek MT6753),8 (MediaTek MT6753),8MP,5MP,,720 x 30fps,f/2.40,1,5020mAh,150MBits/s,,,36h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,Xiaomi Mi 4s,46,133g,7.8mm,139.3mm,70.8mm,76.93cm³,1080 x 1920px,441ppi,"5""",,,,,,933MHz (Qualcomm Snapdragon 808 MSM8992),6 x 2GHz,,13MP,5MP,,1080 x 30fps,f/2.00,2,3260mAh,150MBits/s,,,,11.2 (Qualcomm Snapdragon 808 MSM8992),3GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,Vivo Y91C,46,168g,8.28mm,155.11mm,75.09mm,96.44cm³,720 x 1520px,270ppi,"6.22""",,,,,,1600MHz (MediaTek Helio P22),4 x 2.3GHz & 4 x 1.65GHz (MediaTek Helio P22),8 (MediaTek Helio P22),13MP,5MP,,1080 x 30fps,f/2.20,2,4030mAh,150MBits/s,,,,,,,,,,,,,,,0.04 TFLOPS (MediaTek Helio P22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1804,Huawei Honor 7 Enhanced Edition,46,157g,8.5mm,143.2mm,71.9mm,87.52cm³,1080 x 1920px,424ppi,"5.2""",,,,,533MHz (HiSilicon Kirin 935),1600MHz (HiSilicon Kirin 935),8 x 2.2GHz,8 (HiSilicon Kirin 935),20MP,8MP,,1080 x 30fps,f/2.00,1,3100mAh,300MBits/s (HiSilicon Kirin 935),,,,,,,,,,,,,,,0.1 TFLOPS (HiSilicon Kirin 935),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,Asus Zenfone Selfie Limited Edition,46,170g,10.8mm,156.5mm,77.2mm,130.48cm³,1080 x 1920px,403ppi,"5.5""",,,,,500MHz (Qualcomm Snapdragon 615),800MHz (Qualcomm Snapdragon 615),8 x 1.8GHz,4 (Qualcomm Snapdragon 615),13MP,13MP,,1080 x 30fps,f/2.20,,3000mAh,,,,,,,,,,,,,,,,,,,4.8 GPixel/s (Qualcomm Snapdragon 615),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806,Vertu Aster,46,193g,11.2mm,143.4mm,69mm,110.82cm³,1080 x 1920px,473ppi,"4.7""",,,,,578MHz (Qualcomm Adreno 330 (578MHz)),933MHz (Qualcomm Snapdragon 801 MSM8974AB v3),4 x 2.3GHz,,13MP,2.1MP,,,,2,2275mAh,150MBits/s,,,,9.3 (Qualcomm Adreno 330 (578MHz)),2GB,,,,,,,3 (Qualcomm Adreno 330 (578MHz)),,,0.15 TFLOPS (Qualcomm Adreno 330 (578MHz)),,3 (Qualcomm Snapdragon 801 MSM8974AB v3),3.6 GPixel/s (Qualcomm Adreno 330 (578MHz)),128 (Qualcomm Snapdragon 801 MSM8974AB v3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,Samsung Galaxy C7 32GB,46,165g,6.7mm,156.6mm,77.2mm,81cm³,1080 x 1920px,386ppi,"5.7""",,,,,,933MHz (Qualcomm Snapdragon 625),8 x 2GHz (Qualcomm Snapdragon 625),8 (Qualcomm Snapdragon 625),16MP,8MP,,1080 x 30fps,f/1.90,2,3300mAh,150MBits/s,,,,11.1 (Qualcomm Snapdragon 625),4GB,,,,,,,1.1 (Qualcomm Snapdragon 625),,,,,,,128 (Qualcomm Snapdragon 625),,,,7.45GB/s (Qualcomm Snapdragon 625),,,,,,,,,,,,,,,,,,,,,,,,,
1808,Samsung Galaxy C7,46,165g,6.7mm,156.6mm,77.2mm,81cm³,1080 x 1920px,386ppi,"5.7""",,,,,,933MHz (Qualcomm Snapdragon 625),8 x 2GHz (Qualcomm Snapdragon 625),8 (Qualcomm Snapdragon 625),16MP,8MP,,1080 x 30fps,f/1.90,2,3300mAh,150MBits/s,,,,11.1 (Qualcomm Snapdragon 625),4GB,,,,,,,1.1 (Qualcomm Snapdragon 625),,,,,,,128 (Qualcomm Snapdragon 625),,,,7.45GB/s (Qualcomm Snapdragon 625),,,,,,,,,,,,,,,,,,,,,,,,,
1809,Huawei ShotX,46,160g,7.8mm,141.6mm,71.2mm,78.64cm³,1080 x 1920px,424ppi,"5.2""",,,,,500MHz (Qualcomm Snapdragon 616 MSM8939),,8 x 1.5GHz (Qualcomm Snapdragon 616 MSM8939),,13MP,,,1080 x 30fps,f/2.00,2,3100mAh,150MBits/s,,,11h,11.2 (Qualcomm Snapdragon 616 MSM8939),,,,,,,,,,,,,,4.8 GPixel/s (Qualcomm Snapdragon 616 MSM8939),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,Sony Xperia L2 Dual SIM,46,178g,9.8mm,150mm,78mm,114.66cm³,720 x 1280px,267ppi,"5.5""",,,,,600MHz (MediaTek MT6737T),,4 x 1.5GHz (MediaTek MT6737T),,13MP,8MP,,1080 x 30fps,f/2.00,,3300mAh,150MBits/s,,,,11 (MediaTek MT6737T),,3200 ISO,,,,,,,,,0.01 TFLOPS (MediaTek MT6737T),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,Sony Xperia L2,46,178g,9.8mm,150mm,78mm,114.66cm³,720 x 1280px,267ppi,"5.5""",,,,,600MHz (MediaTek MT6737T),,4 x 1.5GHz (MediaTek MT6737T),,13MP,8MP,,1080 x 30fps,f/2.00,,3300mAh,150MBits/s,,,,11 (MediaTek MT6737T),,3200 ISO,,,,,,,,,0.01 TFLOPS (MediaTek MT6737T),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,Gionee S11,46,178g,7.8mm,159.5mm,77.7mm,,1080 x 2160px,402ppi,"5.99""",,,,,900MHz (MediaTek Helio P20),1600MHz (MediaTek Helio P20),8 x 2.3GHz (MediaTek Helio P20),,16MP & 5MP,16MP & 8MP,,1080 x 30fps,f/1.80,1,3410mAh,300MBits/s,,,,,4GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,Oppo RealMe 1,46,155g,7.8mm,156.5mm,75.2mm,91.8cm³,1080 x 2160px,403ppi,"6""",,,,,,1800MHz (MediaTek Helio P60),4 x 2GHz & 4 x 2GHz (MediaTek Helio P60),,13MP,8MP,,1080 x 30fps,f/2.20,2,3410mAh,600MBits/s,,,,,6GB,,,,,,,,,,,,,,128 (MediaTek Helio P60),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,Oppo RealMe 1 (32GB / 3GB RAM),46,155g,7.8mm,156.5mm,75.2mm,91.8cm³,1080 x 2160px,403ppi,"6""",,,,,,1800MHz (MediaTek Helio P60),4 x 2GHz & 4 x 2GHz (MediaTek Helio P60),,13MP,8MP,,1080 x 30fps,f/2.20,2,3410mAh,600MBits/s,,,,,3GB,,,,,,,,,,,,,,128 (MediaTek Helio P60),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,ZTE Blade A7 Prime,46,165g,8.1mm,156.7mm,72.9mm,92.53cm³,720 x 1560px,276ppi,"6.09""",,,,,,1600MHz (MediaTek Helio A22),4 x 2GHz (MediaTek Helio A22),4 (MediaTek Helio A22),16MP,5MP,1µm,1080 x 30fps,f/2.00,2,3200mAh,150MBits/s,,,,,,,,,,,,,,,0.04 TFLOPS (MediaTek Helio A22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,Vivo V5 Plus,46,158g,7.3mm,152.6mm,74mm,82.43cm³,1080 x 1920px,401ppi,"5.5""",5,,,,,933MHz (Qualcomm Snapdragon 625 MSM8953),8 x 2GHz (Qualcomm Snapdragon 625 MSM8953),8 (Qualcomm Snapdragon 625 MSM8953),16MP,20MP & 8MP,,2160 x 30fps,f/2.00,2,3160mAh,150MBits/s,,,,11.1 (Qualcomm Snapdragon 625 MSM8953),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,Motorola Moto E6,46,159g,8.57mm,149.7mm,72.3mm,92.76cm³,720 x 1440px,296ppi,"5.5""",,,,,,800MHz (Qualcomm Snapdragon 430),8 x 1.4GHz (Qualcomm Snapdragon 430),8 (Qualcomm Snapdragon 430),13MP,5MP,1.12µm,1080 x 30fps,f/2.00,2,3000mAh,150MBits/s,,,29h,,2GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,Vivo Y93,46,163.5g,8.3mm,155.1mm,75.1mm,96.68cm³,720 x 1520px,271ppi,"6.2""",,,,,450MHz (Qualcomm Snapdragon 439),,4 x 1.95GHz & 4 x 1.45GHz (Qualcomm Snapdragon 439),8 (Qualcomm Snapdragon 439),13MP & 2MP,8MP,,1080 x 30fps,f/2.4 & f/2.2,2,4030mAh,150MBits/s (Qualcomm Snapdragon 439),,,,11.2 (Qualcomm Snapdragon 439),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,Allview P8 Pro,46,186.5g,8mm,153mm,75.2mm,,1080 x 1920px,401ppi,"5.5""",3,,,,600MHz (MediaTek MT6737),,4 x 1.45GHz,,13MP,8MP,,1080 x 30fps,f/2.00,1,3000mAh,150MBits/s,,,13h,11 (MediaTek MT6737),,,,,,,,,,,0.01 TFLOPS (MediaTek MT6737),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,Vivo Y83,46,150g,7.7mm,155.21mm,75.24mm,89.92cm³,720 x 1520px,270ppi,"6.22""",,,,,,1600MHz (MediaTek Helio P22),4 x 2.3GHz & 4 x 1.65GHz (MediaTek Helio P22),8 (MediaTek Helio P22),13MP,8MP,,1080 x 30fps,f/2.20,2,3260mAh,150MBits/s,,,,,,,,,,,,,,,0.04 TFLOPS (MediaTek Helio P22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821,Lenovo K5 Note,46,,8.4mm,152mm,75.7mm,96.65cm³,1080 x 1920px,401ppi,"5.5""",,,,,700MHz (MediaTek Helio P10),,8 x 1.8GHz,,13MP,8MP,,1080 x 30fps,f/2.20,3,3500mAh,150MBits/s,,,,,2GB,,,,,,,,,,,,,,128 (MediaTek Helio P10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,Huawei Honor 7,46,157g,8.5mm,143.2mm,71.9mm,87.52cm³,1080 x 1920px,424ppi,"5.2""",,,,,533MHz (HiSilicon Kirin 935),1600MHz (HiSilicon Kirin 935),8 x 2.2GHz,8 (HiSilicon Kirin 935),20MP,8MP,,1080 x 30fps,f/2.00,1,3100mAh,300MBits/s (HiSilicon Kirin 935),,,,,,,,,,,,,,,0.1 TFLOPS (HiSilicon Kirin 935),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,Alcatel OneTouch Flash 2,46,142g,9.9mm,145.7mm,71.2mm,,720 x 1280px,294ppi,"5""",,,,,695MHz (MediaTek MT6753),,8 x 1.3GHz,8 (MediaTek MT6753),13MP,5MP,,1080 x 30fps,f/2.00,1,3000mAh,150MBits/s,,,25h,,2GB,,,,,,,,,,,,,,128 (MediaTek MT6753),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,Sony Xperia XA,46,137.4g,7.9mm,143.6mm,66.8mm,75.78cm³,720 x 1280px,294ppi,"5""",,,,,700MHz (MediaTek Helio P10),,4 x 2GHz & 4 x 1.2GHz (MediaTek Helio P10),,13MP,8MP,,1080 x 30fps,f/2.00,2,2300mAh,150MBits/s,,,,,2GB,,,,,,,,,,,,,,128 (MediaTek Helio P10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,HomTom HT10,46,175g,8.9mm,150.5mm,77.6mm,103.94cm³,1080 x 1920px,401ppi,"5.5""",,,,,780MHz (MediaTek Helio X20),933MHz (MediaTek Helio X20),2 x 2.1GHz & 4 x 1.85GHz & 4 x 1.4GHz (MediaTek Helio X20),,21MP,8MP,,1080 x 30fps,f/2.80,2,3200mAh,150MBits/s (MediaTek Helio X20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,Sony Xperia Z,46,146g,7.9mm,139mm,71mm,,1080 x 1920px,441ppi,"5""",,,,,400MHz (Qualcomm Snapdragon S4 Pro APQ8064),533MHz (Qualcomm Snapdragon S4 Pro APQ8064),4 x 1.5GHz,4 (Qualcomm Snapdragon S4 Pro APQ8064),13MP,2MP,,1080 x 30fps,,,2400mAh,100MBits/s,,,,,,,,,,,,,,,0.06 TFLOPS (Qualcomm Snapdragon S4 Pro APQ8064),,,3.2 GPixel/s (Qualcomm Snapdragon S4 Pro APQ8064),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,HTC Butterfly S,46,160g,10.6mm,144.5mm,70.5mm,107.98cm³,1080 x 1920px,441ppi,"5""",,,,,450MHz (Qualcomm Snapdragon 600 APQ8064AB),600MHz (Qualcomm Snapdragon 600 APQ8064AB),4 x 1.9GHz (Qualcomm Snapdragon 600 APQ8064AB),,4MP,2.1MP,,,f/2.00,2,3200mAh,42MBits/s,,,,,,,,,,,,,,,0.06 TFLOPS (Qualcomm Snapdragon 600 APQ8064AB),,,3.2 GPixel/s (Qualcomm Snapdragon 600 APQ8064AB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,HomTom HT70,46,207g,14.5mm,165.5mm,77mm,184.78cm³,720 x 1440px,268ppi,"6""",,,,,,666MHz (MediaTek MT6750T),8 x 1.5GHz (MediaTek MT6750T),,16MP & 5MP,13MP,,1080 x 30fps,f/2 & f/2,2,10000mAh,300MBits/s,,,63h,11.2 (MediaTek MT6750T),4GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,Doogee BL5500 Lite,46,180g,10.5mm,160.8mm,76.9mm,129.84cm³,720 x 1500px,269ppi,"6.19""",3,,,,570MHz (MediaTek MT6739),1500MHz (MediaTek MT6739),4 x 1.5GHz (MediaTek MT6739),4 (MediaTek MT6739),13MP & 8MP,5MP,,1080 x 30fps,f/2 & f/2,2,5500mAh,150MBits/s (MediaTek MT6739),,,35h,,,1600 ISO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,Vivo V17 Neo,46,179g,8.1mm,159.5mm,75.2mm,97.15cm³,1080 x 2340px,404ppi,"6.38""",,,,,,,2 x 2GHz & 6 x 1.7GHz,,16MP & 8MP & 2MP,32MP,,1080 x 30fps,f/1.8 & f/2.2 & f/2.4,2,4500mAh,300MBits/s,,,,,6GB,,,,,,,,,,,,,,,,,,,,,128GB,12nm,,,,,,,,,,,,,,,,,,,,,
1831,Huawei Honor 6x,46,162g,8.2mm,150.9mm,72.6mm,89.83cm³,1080 x 1920px,401ppi,"5.5""",,,,,650MHz (HiSilicon Kirin 655),,4 x 2.1GHz & 4 x 1.7GHz,,12MP & 2MP,8MP,,1080 x 30fps,f/2.00,2,3340mAh,300MBits/s,,,,,4GB,,,,,,,,,,0.06 TFLOPS (HiSilicon Kirin 655),,,5.2 GPixel/s (HiSilicon Kirin 655),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,LG Vista 2,46,169.8g,9.7mm,154.4mm,79.8mm,119.51cm³,1080 x 1920px,386ppi,"5.7""",,,,,500MHz (Qualcomm Snapdragon 617),800MHz (Qualcomm Snapdragon 617),8 x 1.5GHz,8 (Qualcomm Snapdragon 617),13MP,5MP,,1080 x 30fps,,2,3000mAh,150MBits/s (Qualcomm Snapdragon 617),,,,,,,,,,,,,,,,,,4.8 GPixel/s (Qualcomm Snapdragon 617),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
