id,name,overall_score,weight,thickness,height,width,volume,resolution,pixel_density,screen_size,gorilla_glass_version,refresh_rate,luminance,contrast_ratio,gpu_clock_speed,ram_speed,cpu_speed,cpu_threads,megapixels__main_camera,megapixels__front_camera,pixel_size__main_camera,video_recording__main_camera,wide_aperture__main_camera,number_of_microphones,battery_power,download_speed,waterproof_depth_rating,ingress_protection__ip__rating,battery_life,directx_version,ram,maximum_light_sensitivity,response_time,lowest_potential_operating_temperature,maximum_operating_temperature,emojis_available,usb_version,openvg_version,upload_speed,field_of_view,floating_point_performance,gpu_memory_speed,front_end_width,pixel_rate,bits_executed_at_a_time,warranty_period,opengl_version,exposure_time,maximum_memory_bandwidth,opencl_version,opengl_es_version,internal_storage,semiconductor_size,power_on_delay,number_of_flash_leds,bluetooth_version,maximum_amount_of_external_memory_supported,antutu_benchmark_score,memory_bandwidth,minimum_focal_length,vfp_version,optical_zoom,wide_aperture__front_camera,geekbench_result,continuous_shooting_at_high_resolution,charge_time,movie_bitrate,included_sd_card__memory_size,maximum_focal_length,more_languages_supported,body_sar__us,head_sar__us,head_sar__eu,shutter_lag
463,Motorola Moto Z2 Play,68,145g,6mm,156.2mm,76.2mm,71.41cm³,1080 x 1920px,403ppi,"5.5""",4,,,,650MHz (Qualcomm Snapdragon 626),933MHz (Qualcomm Snapdragon 626),8 x 2.2GHz (Qualcomm Snapdragon 626),8 (Qualcomm Snapdragon 626),12MP,5MP,1.4µm,2160 x 60fps,f/1.70,3,3000mAh,450MBits/s,,,30h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Motorola Moto G Stylus,68,192g,9.2mm,158.6mm,75.8mm,110.6cm³,1080 x 2300px,399ppi,"6.4""",,,,,,1866MHz (Qualcomm Snapdragon 665),4 x 2GHz & 4 x 1.8GHz (Qualcomm Snapdragon 665),8 (Qualcomm Snapdragon 665),48MP & 16MP & 2MP,16MP,0.8µm & 1.6µm & 1.75µm,2160 x 30fps,f/1.7 & f/2.2 & f/2.2,2,4000mAh,600MBits/s,,,,12 (Qualcomm Snapdragon 665),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,HTC U19e,68,180g,8mm,156.5mm,75.9mm,95.03cm³,1080 x 2160px,402ppi,"6""",,,,,800MHz (Qualcomm Snapdragon 710),1866MHz (Qualcomm Snapdragon 710),2 x 2.2GHz & 6 x 1.7GHz (Qualcomm Snapdragon 710),,20MP & 12MP,24MP & 2MP,,1080 x 60fps,f/1.8 & f/2.6,2,3930mAh,798MBits/s,,,,12 (Qualcomm Snapdragon 710),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Huawei Nexus 6P,68,178g,7.3mm,159.3mm,77.8mm,,1440 x 2560px,518ppi,"5.7""",4,,,,650MHz (Qualcomm Snapdragon 810 MSM8994),1600MHz (Qualcomm Snapdragon 810 MSM8994),4 x 2GHz & 4 x 1.5GHz (Qualcomm Snapdragon 810 MSM8994),,12.3MP,8MP,1.55µm,2160 x 30fps,,2,3450mAh,,,,,,,,,,,,,,,,0.38 TFLOPS (Qualcomm Snapdragon 810 MSM8994),,,7.2 GPixel/s (Qualcomm Snapdragon 810 MSM8994),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,Huawei Nexus 6P 32GB,68,178g,7.3mm,159.3mm,77.8mm,,1440 x 2560px,518ppi,"5.7""",4,,,,650MHz (Qualcomm Snapdragon 810 MSM8994),1600MHz (Qualcomm Snapdragon 810 MSM8994),4 x 2GHz & 4 x 1.5GHz (Qualcomm Snapdragon 810 MSM8994),,12.3MP,8MP,1.55µm,2160 x 30fps,,2,3450mAh,,,,,,,,,,,,,,,,0.38 TFLOPS (Qualcomm Snapdragon 810 MSM8994),,,7.2 GPixel/s (Qualcomm Snapdragon 810 MSM8994),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Huawei Nexus 6P 64GB,68,178g,7.3mm,159.3mm,77.8mm,,1440 x 2560px,518ppi,"5.7""",4,,,,650MHz (Qualcomm Snapdragon 810 MSM8994),1600MHz (Qualcomm Snapdragon 810 MSM8994),4 x 2GHz & 4 x 1.5GHz (Qualcomm Snapdragon 810 MSM8994),,12.3MP,8MP,1.55µm,2160 x 30fps,,2,3450mAh,,,,,,,,,,,,,,,,0.38 TFLOPS (Qualcomm Snapdragon 810 MSM8994),,,7.2 GPixel/s (Qualcomm Snapdragon 810 MSM8994),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Huawei Mate X,68,295g,5.4mm,161.3mm,146.2mm,127.34cm³,2200 x 2480px,414ppi,"8""",,,,,720MHz (Huawei Kirin 980),2133MHz (Huawei Kirin 980),2 x 2.6GHz & 2 x 1.92GHz & 4 x 1.8GHz (Huawei Kirin 980),8 (Huawei Kirin 980),40MP & 16MP & 8MP,,,2160 x 30fps,f/1.8 & f/2.2 & f/2.4,2,4500mAh,1400MBits/s (Huawei Kirin 980),,,,12 (Huawei Kirin 980),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Vivo iQOO,68,196g,8.5mm,157.7mm,75.2mm,100.8cm³,1080 x 2340px,402ppi,"6.41""",,,,,,2133MHz (Qualcomm Snapdragon 855),1 x 2.84GHz & 3 x 2.42GHz & 4 x 1.8GHz (Qualcomm Snapdragon 855),8 (Qualcomm Snapdragon 855),13MP & 12MP & 2MP,12MP,,2160 x 30fps,,2,4000mAh,2000MBits/s (Qualcomm Snapdragon 855),,,,12 (Qualcomm Snapdragon 855),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Essential PH-1,68,185g,7.8mm,141.5mm,71.1mm,78.47cm³,1312 x 2560px,504ppi,"5.71""",5,,,,710MHz (Qualcomm Snapdragon 835),1866MHz (Qualcomm Snapdragon 835),4 x 2.45GHz & 4 x 1.9GHz (Qualcomm Snapdragon 835),8 (Qualcomm Snapdragon 835),13MP & 13MP,8MP,,2160 x 30fps,f/1.9 & f/1.9,2,3040mAh,150MBits/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Vivo NEX 3 5G (256GB / 8GB RAM),68,218.5g,9.4mm,167.4mm,76.1mm,119.75cm³,1080 x 2256px,363ppi,"6.89""",,,,,,2133MHz (Qualcomm Snapdragon 855 Plus),1 x 2.96GHz & 3 x 2.42GHz & 4 x 1.8GHz (Qualcomm Snapdragon 855 Plus),8 (Qualcomm Snapdragon 855 Plus),64MP & 13MP & 13MP,16MP,1.8µm & 2.5µm & 2.2µm,2160 x 30fps,,2,4500mAh,1200MBits/s,,,,12 (Qualcomm Snapdragon 855 Plus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
